departement,annee,sau,part_sau,exploitations,sau_m_ha
50,1979,495975,82.48,32559,15.23
50,1988,488198,81.19,26659,18.31
50,2000,454353,75.56,18242,24.91
50,2010,427119,71.03,11328,37.7
50,2020,420871.73,69.99,8038,52.36
51,1970,552575,67.42,16472,33.55
51,1979,561878,68.55,17102,32.85
51,1988,555581,67.78,16758,33.15
51,2000,559062,68.21,14774,37.84
51,2010,554703,67.68,14120,39.28
51,2020,557179.29,67.98,13231,42.11
52,1970,309972,49.54,7529,41.17
52,1979,314380,50.25,6132,51.27
52,1988,311283,49.75,5445,57.17
52,2000,310420,49.61,3219,96.43
52,2010,305377,48.81,2245,136.03
52,2020,314926.57,50.33,1850,170.23
53,1970,450000,86.31,23793,18.91
53,1979,445679,85.48,20532,21.71
53,1988,431089,82.68,17447,24.71
53,2000,411744,78.97,11527,35.72
53,2010,396205,75.99,8065,49.13
53,2020,385833.56,74,6072,63.54
54,1970,272994,51.63,9633,28.34
54,1979,267981,50.68,6866,39.03
54,1988,266305,50.37,5360,49.68
54,2000,271790,51.4,3417,79.54
54,2010,271539,51.36,2725,99.65
54,2020,272076.56,51.46,2086,130.43
55,1970,318125,50.98,7164,44.41
55,1979,324742,52.04,6007,54.06
55,1988,326827,52.37,5792,56.43
55,2000,328774,52.68,3535,93.01
55,2010,328940,52.71,2975,110.57
55,2020,330269.09,52.92,2287,144.41
56,1970,429604,62.45,33038,13
56,1979,424287,61.68,26063,16.28
56,1988,397573,57.79,20891,19.03
56,2000,385026,55.97,11779,32.69
56,2010,368154,53.52,7556,48.72
56,2020,367875.31,53.48,5763,63.83
57,1970,322374,51.52,16067,20.06
57,1979,310123,49.56,11303,27.44
57,1988,303259,48.46,8417,36.03
57,2000,313597,50.11,5240,59.85
57,2010,316130,50.52,3752,84.26
57,2020,319349.83,51.03,2878,110.96
58,1970,390582,56.83,9894,39.48
58,1979,388504,56.53,7748,50.14
58,1988,381484,55.51,6418,59.44
58,2000,372801,54.24,4386,85
58,2010,370203,53.87,3476,106.5
58,2020,367818.19,53.52,2748,133.85
59,1970,407860,70.69,22153,18.41
59,1979,394317,68.34,18003,21.9
59,1988,382432,66.28,14600,26.19
59,2000,361638,62.68,8701,41.56
59,2010,354347,61.42,6721,52.72
59,2020,351631.52,60.94,5766,60.98
60,1970,387547,65.71,7834,49.47
60,1979,380778,64.56,6768,56.26
60,1988,375522,63.67,5902,63.63
60,2000,372538,63.16,4051,91.96
60,2010,368691,62.51,3359,109.76
60,2020,365539.18,61.98,2938,124.42
61,1970,465271,75.67,20072,23.18
61,1979,455346,74.06,16293,27.95
61,1988,441674,71.83,13736,32.15
61,2000,412027,67.01,8421,48.93
61,2010,397461,64.64,5924,67.09
61,2020,397898.62,64.71,4714,84.41
62,1970,516760,76.93,26747,19.32
62,1979,509044,75.78,20436,24.91
62,1988,495196,73.72,16556,29.91
62,2000,476527,70.94,9335,51.05
62,2010,463513,69,6734,68.83
62,2020,457908.55,68.17,5733,79.87
63,1970,408021,50.92,26346,15.49
63,1979,422400,52.71,20328,20.78
63,1988,415671,51.87,14707,28.26
63,2000,403500,50.35,9528,42.35
63,2010,391917,48.91,7377,53.13
63,2020,385638.24,48.12,5745,67.13
64,1970,338461,43.9,24420,13.86
64,1979,344985,44.75,22219,15.53
64,1988,338759,43.94,18964,17.86
64,2000,356425,46.23,14695,24.25
64,2010,330208,42.83,11949,27.63
