code,nb_exp,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2A,6385,2319,502,2931,2188,3459,3448,4669,978,5714,175,6192,919,5465,708,5589,716,6790,4891,7673,0969,10443,5605,12194,3265,14981,5575,16008,338,18497,8243,18627,19507
2B,9232,2182,9679,2733,524,3861,2916,3863,375,4677,571,4950,698,4781,0744,5380,4864,5840,0194,6196,0692,10993,0433,13967,1151,15273,4877,17201,5363,22320,4042,25750,54048
30,45289,6913,5937,9183,6708,13704,5865,15820,7767,19093,274,19843,433,20806,3966,22670,412,23077,6343,24764,415,26625,0119,29947,5925,33852,2867,40217,5833,46282,7478,50547,38932
31,35777,5835,203,6032,407,6490,396,8420,921,10054,2219,10776,365,11288,6708,13388,2453,23520,5167,26680,1032,29813,5797,33965,9729,41564,7427,47616,0237,50374,9475,52686,89935
32,72721,10462,049,10904,216,11582,9,16188,76,19587,929,22838,637,24296,805,29266,865,53301,344,60797,3622,68203,7712,78519,5633,91409,8615,103209,7146,122204,6941,123237,9305
33,26740,4300,1164,4654,5139,6308,0242,7937,3851,10802,0082,11659,6748,11315,7705,11983,2252,16239,1727,16323,9261,19189,4018,22241,6536,27634,6219,35625,0344,45469,0878,47623,89009
34,36752,6299,395,7714,9043,11888,108,14600,3566,18850,1656,20224,5596,19399,9006,20918,9292,21784,7234,22929,6885,26740,6376,30555,5427,33672,7403,37557,9398,41847,6275,46180,76576
35,41114,10173,603,10676,611,12561,729,16047,924,17939,3128,18958,5934,19790,8235,20207,6066,21543,6746,28208,4566,32103,7133,35961,48527,39549,43397,44173,39387,47776,47409,48991,93294
36,13075,2914,053,3487,774,5324,924,5801,721,7144,631,7621,612,7826,929,8997,1471,11292,8224,11823,614,13307,3537,16085,573,18830,555,21237,9913,23265,0409,24876,09481
37,18632,4935,9155,5189,5468,5923,491,8668,6225,9067,4415,9665,7093,10401,6347,10469,4888,12212,4984,12605,7622,13942,2409,16499,7438,17532,841,20223,8883,22205,4391,22756,43123
38,34229,5326,7165,7255,6734,8505,8283,11024,6392,12606,7,13404,629,13485,6981,13270,3059,15322,6543,18984,6524,21134,371,23678,2357,26116,4937,30132,3703,32174,4707,32263,49823
39,14611,8341,816,8644,675,9566,112,11028,078,11492,0211,11689,347,12161,4277,12823,073,14925,8527,17131,4459,20200,0877,22172,8314,23226,7068,24530,8266,26647,2098,27808,62485
40,13265,2731,885,2879,013,3981,706,3655,886,4200,597,4265,424,4130,704,4357,658,4933,6591,5858,6493,7561,5889,10270,4397,12730,504,15009,9657,16365,7012,15426,96906
41,11422,4140,885,4140,1111,4451,581,5228,8327,5952,5135,5992,1839,5667,3515,6140,6005,6970,6236,6931,4085,7506,299,8389,7648,10096,2431,11517,1473,12618,4935,13359,97105
42,24194,2729,348,3976,925,5357,394,7137,3473,8854,3924,8953,8475,9305,575,9902,2264,11047,3275,15057,4431,18571,5201,21239,8049,22998,9426,24870,6612,26811,1519,26994,07499
43,29122,4886,374,5931,142,7845,8211,11431,9978,12796,991,13421,812,13935,451,14242,7673,15899,953,23152,3437,25958,1261,27200,7771,29185,8458,30465,039,32117,2301,32996,55805
44,52611,21338,779,23768,315,26397,212,30758,1965,38426,6479,40890,1739,41444,7176,45237,1827,48418,7859,56709,4596,62010,1485,68261,6944,76544,3819,82574,3514,86294,85195,89103,7215
45,9800,2230,18,2163,785,2555,281,2904,452,3356,3734,3811,4504,4170,1922,4357,3866,4634,4517,5230,5991,5776,6697,7965,5547,9882,4725,11786,8284,12742,3642,12975,59773
